,aclose
2004-05-07,47.2244
2004-05-14,46.2713
2004-05-21,46.6568
2004-05-28,47.4386
2004-06-04,46.8871
2004-06-10,48.44
2004-06-18,48.2258
2004-06-25,47.9527
2004-07-02,46.6086
2004-07-09,44.9218
2004-07-16,45.1307
2004-07-23,45.4359
2004-07-30,46.6247
2004-08-06,44.7987
2004-08-13,45.0294
2004-08-20,45.7485
2004-08-27,45.5822
2004-09-03,45.287
2004-09-10,46.5589
2004-09-17,46.0115
2004-09-24,45.3085
2004-10-01,46.5374
2004-10-08,46.532
2004-10-15,45.5339
2004-10-22,46.8969
2004-10-29,48.1634
2004-11-05,50.0577
2004-11-12,51.2511
2004-11-19,50.7833
2004-11-26,50.9285
2004-12-03,52.1974
2004-12-10,51.977
2004-12-17,51.7243
2004-12-23,52.5415
2004-12-31,53.0039
2005-01-07,51.4984
2005-01-14,50.5951
2005-01-21,49.6703
2005-01-28,49.9446
2005-02-04,50.8156
2005-02-11,50.2609
2005-02-18,50.2448
2005-02-25,49.9916
2005-03-04,49.7599
2005-03-11,49.2967
2005-03-18,48.0953
2005-03-24,48.8603
2005-04-01,48.7202
2005-04-08,47.1903
2005-04-15,41.3185
2005-04-22,39.9771
2005-04-29,41.1461
2005-05-06,40.6505
2005-05-13,39.5162
2005-05-20,41.2716
2005-05-27,41.6443
2005-06-03,40.9368
2005-06-10,40.3858
2005-06-17,41.2608
2005-06-24,39.9753
2005-07-01,40.3318
2005-07-08,42.8326
2005-07-15,44.4962
2005-07-22,45.6089
2005-07-29,45.0796
2005-08-05,45.0256
2005-08-12,44.5001
2005-08-19,44.8087
2005-08-26,43.5201
2005-09-02,43.022
2005-09-09,44.094
2005-09-16,43.4931
2005-09-23,42.2315
2005-09-30,43.4335
2005-10-07,43.5851
2005-10-14,44.5867
2005-10-21,45.1174
2005-10-28,44.0832
2005-11-04,44.9387
2005-11-11,45.888
2005-11-18,47.6356
2005-11-25,48.1946
2005-12-02,48.1132
2005-12-09,47.2014
2005-12-16,45.2476
2005-12-23,45.3073
2005-12-30,44.6126
2006-01-06,46.1051
2006-01-13,45.139
2006-01-20,44.1567
2006-01-27,43.9722
2006-02-03,43.4023
2006-02-10,44.2497
2006-02-17,43.9123
2006-02-24,43.5805
2006-03-03,43.5043
2006-03-10,44.3802
2006-03-17,45.3215
2006-03-24,45.3541
2006-03-31,44.8699
2006-04-07,44.8754
2006-04-13,44.6033
2006-04-21,44.4292
2006-04-28,44.7992
2006-05-05,45.1474
2006-05-12,44.9886
2006-05-19,43.8365
2006-05-26,44.0931
2006-06-02,43.4215
2006-06-09,42.5969
2006-06-16,42.5642
2006-06-23,42.1
2006-06-30,41.9472
2006-07-07,41.7287
2006-07-14,40.1725
2006-07-21,40.8769
2006-07-28,42.0236
2006-08-04,41.4503
2006-08-11,41.3796
2006-08-18,43.8027
2006-08-25,43.7918
2006-09-01,44.6305
2006-09-08,44.2194
2006-09-15,45.4693
2006-09-22,44.5209
2006-09-29,44.9211
2006-10-06,45.579
2006-10-13,47.1907
2006-10-20,49.6029
2006-10-27,49.7564
2006-11-03,50.1127
2006-11-10,50.4676
2006-11-17,51.5951
2006-11-24,51.3421
2006-12-01,50.1871
2006-12-08,51.6226
2006-12-15,52.4146
2006-12-22,52.3871
2006-12-29,53.4321
2007-01-05,53.5806
2007-01-12,54.6366
2007-01-19,52.8931
2007-01-26,53.5971
2007-02-02,54.5431
2007-02-09,54.3654
2007-02-16,54.6082
2007-02-23,53.9131
2007-03-02,50.1453
2007-03-09,51.4582
2007-03-16,51.4417
2007-03-23,52.4236
2007-03-30,51.9988
2007-04-05,53.2456
2007-04-13,52.3684
2007-04-20,52.1754
2007-04-27,55.8108
2007-05-04,56.7982
2007-05-11,58.6906
2007-05-18,59.8037
2007-05-25,58.2476
2007-06-01,59.0007
2007-06-08,57.0791
2007-06-15,58.1977
2007-06-22,57.8378
2007-06-29,58.2863
2007-07-06,60.3797
2007-07-13,60.1415
2007-07-20,63.5806
2007-07-27,64.0291
2007-08-03,61.9635
2007-08-10,62.5997
2007-08-17,61.6327
2007-08-24,62.9332
2007-08-31,64.8505
2007-09-07,64.2169
2007-09-14,63.9835
2007-09-21,64.9005
2007-09-28,65.4674
2007-10-05,64.6337
2007-10-12,65.4729
2007-10-19,62.3996
2007-10-26,63.2055
2007-11-02,63.6834
2007-11-09,55.9169
2007-11-16,58.4468
2007-11-23,58.034
2007-11-30,58.6643
2007-12-07,60.7168
2007-12-14,58.9934
2007-12-21,61.9383
2007-12-28,61.4029
2008-01-04,56.4054
2008-01-11,54.4756
2008-01-18,57.6715
2008-01-25,58.2962
2008-02-01,60.8395
2008-02-08,57.8214
2008-02-15,59.4395
2008-02-22,60.5089
2008-02-29,63.7508
2008-03-07,63.7956
2008-03-14,64.5179
2008-03-20,66.2536
2008-03-28,64.1483
2008-04-04,64.8146
2008-04-11,64.949
2008-04-18,69.6522
2008-04-25,68.9131
2008-05-02,68.9691
2008-05-09,69.7416
2008-05-16,71.8553
2008-05-23,69.8203
2008-05-30,72.7604
2008-06-06,70.2363
2008-06-13,70.9165
2008-06-20,68.9996
2008-06-27,67.4873
2008-07-03,67.2006
2008-07-11,68.651
2008-07-18,73.019
2008-07-25,72.2545
2008-08-01,71.192
2008-08-08,72.6922
2008-08-15,71.3096
2008-08-22,70.5026
2008-08-29,68.6967
2008-09-05,64.5206
2008-09-12,67.1391
2008-09-19,67.0714
2008-09-26,67.3931
2008-10-03,58.375
2008-10-10,49.5205
2008-10-17,51.2305
2008-10-24,46.3151
2008-10-31,52.4664
2008-11-07,48.9712
2008-11-14,45.5993
2008-11-21,42.5057
2008-11-28,46.3203
2008-12-05,45.7469
2008-12-12,46.6609
2008-12-19,47.4102
2008-12-26,46.167
2009-01-02,49.5956
2009-01-09,48.08
2009-01-16,48.2049
2009-01-23,50.799
2009-01-30,52.0251
2009-02-06,54.8577
2009-02-13,53.5453
2009-02-20,50.6638
2009-02-27,52.5125
2009-03-06,48.9634
2009-03-13,51.5596
2009-03-20,52.7864
2009-03-27,53.7222
2009-04-03,58.327
2009-04-09,58.0303
2009-04-17,57.7849
2009-04-24,57.1059
2009-05-01,59.6907
2009-05-08,58.2149
2009-05-15,58.1461
2009-05-22,58.4443
2009-05-29,60.9624
2009-06-05,61.5131
2009-06-12,62.0695
2009-06-19,60.7387
2009-06-26,60.6183
2009-07-02,58.3526
2009-07-10,57.8363
2009-07-17,66.2052
2009-07-24,67.4786
2009-07-31,67.6449
2009-08-07,68.7687
2009-08-14,68.3307
2009-08-21,69.0972
2009-08-28,68.129
2009-09-04,67.691
2009-09-11,68.031
2009-09-18,70.3708
2009-09-25,69.7772
