,dividend
2010,2.5
2011,2.9
2012,3.3
2013,3.6999999999999997
2014,4.25
2015,5.0
2016,5.5
2017,5.9
2018,6.21
2019,6.430000000000001
2020,6.51
2021,6.55
2022,6.59
2023,6.63
